TimeGenerated,EventType,MessageId,Campaign,SenderDisplayName,SenderAddress,ReturnPath,RecipientAddress,Subject,SenderIP,SPFResult,DKIMResult,DMARCResult,DeliveryAction,Url,ClickIP,CredentialsSubmitted
2026-08-25T07:54:46Z,Delivery,<A-0009@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,dean.page@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T07:54:51Z,Delivery,<A-0040@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,zara.aziz@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T07:55:02Z,Delivery,<A-0017@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,hugo.marsh@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T07:55:38Z,Delivery,<A-0029@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,nina.cole@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Quarantined,,,
2026-08-25T07:56:05Z,Delivery,<A-0004@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,aria.reid@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T07:56:24Z,Delivery,<A-0021@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,jude.ross@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T07:56:59Z,Delivery,<A-0011@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,emma.hayes@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Quarantined,,,
2026-08-25T07:57:13Z,Delivery,<A-0002@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,alba.vega@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T07:59:42Z,Delivery,<A-0026@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,lucas.ford@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T07:59:45Z,Delivery,<A-0016@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,gwen.muir@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T08:00:55Z,Delivery,<A-0020@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,joel.kerr@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
2026-08-25T08:01:44Z,Delivery,<A-0027@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,maya.chen@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Quarantined,,,
2026-08-25T08:01:51Z,Delivery,<A-0008@mail.cloudora-hr-portal.example>,PayrollPhish-A,Cloudora HR,payroll@cloudora.io,bounce@mail.cloudora-hr-portal.example,daniel.reeve@cloudora.io,Payroll update: action required before 5pm,198.18.44.10,fail,fail,fail,Delivered,,,
